warning_type,tier,tier_weight,file,line,column,message,compile_unit,loc_file
type_conversion,A,3,f_other.f,366,9,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,367,14,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,370,15,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,377,10,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,477,14,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,486,16,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,495,12,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,613,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,614,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,615,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,616,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,617,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,618,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,620,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,621,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,622,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
type_conversion,A,3,f_other.f,624,13,Possible change of value in conversion from REAL(8) to REAL(4) at (1) [-Wconversion],f_other.f,f_other.f
